Almacen,Código de barras,Stock min,ROP,Stock Max
CEDIS,850028616147,4,7,11
CEDIS,850028616154,2,3,5
CEDIS,850036932222,0,0,0
CEDIS,850059717035,0,0,0
CEDIS,850320002086,0,0,0
CEDIS,850920002000,0,0,0
CEDIS,850920002017,0,0,0
CEDIS,850920002024,0,0,0
CEDIS,850920002031,0,0,0
CEDIS,850920002055,0,0,0
CEDIS,850920002062,0,0,0
CEDIS,850920002079,0,0,0
CEDIS,850920002116,0,0,0
CEDIS,850920002123,0,0,0
CEDIS,851857001012,0,0,0
CEDIS,851857001036,0,0,0
CEDIS,852681950200,4,5,8
CEDIS,852681950217,0,0,0
CEDIS,852681950316,0,0,0
CEDIS,852681950446,0,0,0
CEDIS,852681950477,1,2,3
CEDIS,852681950545,0,0,0
CEDIS,853206008246,0,0,0
CEDIS,853206008420,0,0,0
CEDIS,853206008628,1,2,3
CEDIS,853676003017,0,0,0
CEDIS,853676003031,0,0,0
CEDIS,853676003048,0,0,0
CEDIS,853676003055,0,0,0
CEDIS,853676003079,0,0,0
CEDIS,853676003093,0,0,0
CEDIS,853676003116,0,0,0
CEDIS,853676003208,0,0,0
CEDIS,853676003215,0,0,0
CEDIS,853676003222,0,0,0
CEDIS,853676003239,0,0,0
CEDIS,853676003246,0,0,0
CEDIS,853676003253,0,0,0
CEDIS,853676003260,0,0,0
