Almacen,Código de barras,Stock min,Stock Max
Sucursal Centro,3282770074727,0,0
Sucursal Centro,3282770393507,1,1
Sucursal Centro,3282770393477,3,3
Sucursal Centro,3282770146790,0,0
Sucursal Centro,3282779405485,1,1
Sucursal Centro,3282770114171,1,1
Sucursal Centro,3282770398472,2,2
Sucursal Centro,3282770104684,0,0
Sucursal Centro,3282779405553,1,1
Sucursal Centro,3282770155105,1,1
Sucursal Centro,3282770155174,0,0
Sucursal Centro,3282770114195,3,3
Sucursal Centro,5702191029314,0,0
Sucursal Centro,7501303435504,0,0
Sucursal Centro,7795320050325,0,0
Sucursal Centro,3701129801352,0,0
Sucursal Centro,3401397163618,0,0
Sucursal Centro,3701129801987,0,0
Sucursal Centro,3401528520846,0,0
Sucursal Centro,3401528520037,0,0
Sucursal Centro,3401528519895,0,0
Sucursal Centro,3701129802076,1,1
Sucursal Centro,3701129802083,0,0
Sucursal Centro,3701129801000,0,0
Sucursal Centro,3701129804308,0,0
Sucursal Centro,3701129804193,0,0
Sucursal Centro,3701129805343,1,1
Sucursal Centro,3701129805329,1,1
Sucursal Centro,3401399372407,0,0
Sucursal Centro,3701129802069,0,0
Sucursal Centro,3401399373527,1,1
Sucursal Centro,3401560936988,0,0
Sucursal Centro,3701129802663,0,0
Sucursal Centro,3701129802670,0,0
Sucursal Centro,3701129802656,0,0
Sucursal Centro,3401528546341,0,0
Sucursal Centro,3401528546402,0,0
Sucursal Centro,3401398303648,0,0
Sucursal Centro,3701129810095,0,0
Sucursal Centro,3401399848254,0,0
Sucursal Centro,3401329447809,2,2
Sucursal Centro,3701129814390,0,0
Sucursal Centro,3401528521157,0,0
Sucursal Centro,3401399694127,0,0
Sucursal Centro,3701129809334,1,1
Sucursal Centro,3401343613730,0,0
Sucursal Centro,3401347869775,3,3
Sucursal Centro,7506307513401,0,0
Sucursal Centro,7506307513364,0,0
Sucursal Centro,7506307516440,0,0
Sucursal Centro,7506307514330,0,0
Sucursal Centro,7506307513722,0,0
Sucursal Centro,7506307513746,0,0
Sucursal Centro,7506307513685,0,0
Sucursal Centro,3401344957253,0,0
Sucursal Centro,3401573697197,0,0
Sucursal Centro,7506307511124,0,0
Sucursal Centro,7506307514644,0,0
Sucursal Centro,7506307515481,0,0
Sucursal Centro,7506307508377,0,0
Sucursal Centro,7506307509312,0,0
Sucursal Centro,7506307509299,0,0
Sucursal Centro,7506307519380,0,0
Sucursal Centro,7506307513449,0,0
Sucursal Centro,7506307514316,0,0
Sucursal Centro,7506307507677,0,0
Sucursal Centro,7506307514293,0,0
Sucursal Centro,7506307509541,0,0
Sucursal Centro,7506307513425,0,0
Sucursal Centro,7506307514651,0,0
Sucursal Centro,7506307516044,0,0
Sucursal Centro,7506307514675,0,0
Sucursal Centro,7506307513708,0,0
Sucursal Centro,3701129803691,0,0
Sucursal Centro,3701129807385,1,1
Sucursal Centro,3701129807392,1,1
Sucursal Centro,3701129804391,2,2
Sucursal Centro,3701129803707,1,1
Sucursal Centro,3701129807422,0,0
Sucursal Centro,3701129803431,3,3
Sucursal Centro,3701129803424,3,3
Sucursal Centro,3701129807415,1,1
Sucursal Centro,3701129803523,1,1
Sucursal Centro,3701129803516,1,1
Sucursal Centro,3401353790797,0,0
Sucursal Centro,3701129813232,0,0
Sucursal Centro,3701129813263,1,1
Sucursal Centro,3701129813294,1,1
Sucursal Centro,3701129813201,1,1
Sucursal Centro,3401360188525,0,0
Sucursal Centro,3701129803639,0,0
Sucursal Centro,3701129804421,0,0
Sucursal Centro,3701129803714,1,1
Sucursal Centro,3701129804414,1,1
Sucursal Centro,3701129803622,0,0
Sucursal Centro,3701129803721,1,1
Sucursal Centro,3701129807439,0,0
Sucursal Centro,3701129803448,2,2
Sucursal Centro,3701129803462,1,1
Sucursal Centro,3701129803455,2,2
Sucursal Centro,3701129807309,0,0
Sucursal Centro,3701129807316,0,0
Sucursal Centro,3701129803738,0,0
Sucursal Centro,3701129807248,3,3
Sucursal Centro,3701129809921,0,0
Sucursal Centro,3701129803684,0,0
Sucursal Centro,3701129813621,0,0
Sucursal Centro,8701129813638,0,0
Sucursal Centro,3701129813645,0,0
Sucursal Centro,3701129813614,0,0
Sucursal Centro,3701129800119,0,0
Sucursal Centro,3701129800072,0,0
Sucursal Centro,3701129800546,0,0
Sucursal Centro,3701129800553,0,0
Sucursal Centro,3701129800102,0,0
Sucursal Centro,3701129800089,1,1
Sucursal Centro,3701129800096,0,0
Sucursal Centro,3401395461082,1,1
Sucursal Centro,3401574131423,1,1
Sucursal Centro,3401353791220,1,1
Sucursal Centro,3401578653709,1,1
Sucursal Centro,3401399277092,2,2
Sucursal Centro,3701129803400,1,1
Sucursal Centro,3401353806399,1,1
Sucursal Centro,3401360147508,1,1
Sucursal Centro,3401572288297,0,0
